기업,부도기사비율
KCW,43.58974358974359
글로웍스,17.94871794871795
금강제강,80.0
나노트로닉스,0.0
나이스메탈,12.195121951219512
네스테크,22.22222222222222
네오퍼플,10.112359550561797
네이쳐글로벌,10.666666666666668
네프로아이티,39.42307692307692
넥스지,1.8518518518518516
넷웨이브,35.064935064935064
뉴젠아이씨티,16.161616161616163
대선조선,9.67741935483871
동양텔레콤,10.95890410958904
디아이디,5.194805194805195
디에스,6.153846153846154
디에이치패션,28.57142857142857
디패션,28.57142857142857
레이젠,9.523809523809524
렉스엘이앤지,55.55555555555556
마이스코,11.428571428571429
맥스브로,8.433734939759036
모린스,8.823529411764707
미리넷,9.090909090909092
미성포리테크,16.39344262295082
미주제강,5.128205128205128
보광티에스,25.333333333333336
블루젬디앤씨,13.48314606741573
비앤비성원,5.194805194805195
비엔씨컴퍼니,0.0
삼우이엠씨,15.384615384615385
세븐코스프,8.450704225352112
스톰이앤에프,18.6046511627907
스틸플라워,15.384615384615385
승화프리텍,30.0
쌍용건설,29.069767441860467
썬코어,24.561403508771928
씨그널엔터테인먼트그룹,6.578947368421052
씨모텍,89.1566265060241
씨엘인터내셔널,17.91044776119403
씨티앤티,22.727272727272727
씨티엘테크,36.36363636363637
아라온테크,41.17647058823529
아이디에스,14.814814814814813
아이스테이션,1.6666666666666667
아이이,25.454545454545453
아이팩토리,39.21568627450981
아인스엠앤엠,20.0
아큐텍,21.11111111111111
알에스넷,13.636363636363635
알티전자,5.797101449275362
어울림네트웍스,17.142857142857142
어울림엘시스,26.41509433962264
어울림정보기술,33.33333333333333
에듀언스,11.538461538461538
에듀패스,8.771929824561402
에버테크노,46.57534246575342
에스브이에이치,30.76923076923077
에스비엠,47.32142857142857
에스에스씨피,0.0
에스에스컴텍,16.176470588235293
에스티씨라이프,34.5679012345679
에이스하이텍,17.741935483870968
에이원마이크로,13.043478260869565
에이프로테크놀로지,13.793103448275861
에코솔루션,0.0
에코페트로시스템,11.904761904761903
에피밸리,44.15584415584416
엔빅스,6.493506493506493
엔스퍼트,63.1578947368421
엔에스브이,36.36363636363637
엔케이바이오,16.417910447761194
엔하이테크,15.476190476190476
엘앤씨피,4.411764705882353
엘앤피아너스,29.72972972972973
엠엔에프씨,34.31372549019608
엠제이비,20.27027027027027
엠텍비젼,38.57142857142858
영진코퍼레이션,16.129032258064516
와이즈파워,49.36708860759494
우경,33.33333333333333
우성아이비,44.230769230769226
우양에이치씨,18.39080459770115
우전,11.11111111111111
울트라건설,14.000000000000002
위너지스,20.0
위노바,21.951219512195124
위다스,34.84848484848485
유니드코리아,24.637681159420293
유니텍전자,2.941176470588235
유아이에너지,28.947368421052634
유일엔시스,18.30985915492958
이디디컴퍼니,36.986301369863014
이룸지엔지,11.11111111111111
인스프리트,17.46031746031746
잘만테크,10.909090909090908
제너시스템즈,17.333333333333336
제이앤유글로벌,7.4074074074074066
제이에이치코오스,40.0
제이콤,7.6923076923076925
중앙디자인,10.344827586206897
지노시스템,6.944444444444445
지아이바이오,27.692307692307693
지앤디윈텍,12.32876712328767
지앤알,3.614457831325301
지앤에스티,32.89473684210527
지티앤티,57.14285714285714
케이엔씨글로벌,19.696969696969695
코썬바이오,40.0
코아에스앤아이,23.170731707317074
큐리어스,36.7816091954023
큐앤에스,20.87912087912088
클라스타,12.698412698412698
클루넷,1.36986301369863
태산엘시디,31.16883116883117
태창파로스,32.432432432432435
터보테크,41.17647058823529
테라리소스,32.631578947368425
트라이써클,20.0
트레이스,3.389830508474576
트루아워,47.61904761904761
티에스엠텍,8.108108108108109
평안물산,23.25581395348837
포휴먼,11.403508771929824
폴리플러스,18.75
프리젠,50.0
플렉스컴,5.952380952380952
피엘에이,17.333333333333336
한와이어리스,14.736842105263156
해피드림,20.0
핸디소프트,43.47826086956522
휴먼텍코리아,12.698412698412698
히스토스템,29.545454545454547
