회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,부도기사비율,부도기업여부,검증
금빛,Dec-19,-29.204458196399457,-47.25275054359919,-16.20095690569928,143.20425396043194,57.02660637711235,0.0,1,1
맥스로텍,Dec-19,-7.784602594933259,-20.59023589003056,-11.271719504558416,159.40898424398597,49.38389788385527,20.0,1,1
미래SCI,Dec-19,0.3708313069540924,-180.29639595428617,-9.221497062484556,145.12814800190793,27.19947793351354,33.33333333333333,1,1
아이엠텍,Dec-19,-26.400393362198983,-81.31580038795636,-5.06901001187276,146.8272151698579,25.50905292618963,37.5,1,1
에스제이케이,Dec-19,-52.181690580359465,-122.70484473400953,-8.280057178200513,131.5709180727456,7.453273480890096,20.0,1,1
에이치디,Dec-19,38.56751044259311,39.36761295122111,-1.8014857457674325,418.9938489977007,25.73090114772012,16.666666666666664,1,0
에이팸,Dec-19,-15.341975711295932,-11.344826798508011,-4.345539252695161,160.4449184008718,42.28267616812869,25.0,1,1
이매진아시아,Dec-19,43.24455064787146,-543.5430678693343,-17.513988479396485,298.2737163488091,70.80030275154786,0.0,1,1
이엠네트웍스,Dec-19,-14.023023241522525,-159.9991665758012,-8.164831184694146,109.39592560228746,22.07869692970876,55.55555555555556,1,1
제낙스,Dec-19,-70.06834169840349,-401.8567005473026,-27.681811899417387,106.34608779004328,14.530210597997428,50.0,1,1
지유온,Dec-19,27.41426744477745,-287.01307938678883,-9.117606673002252,101.34228320795047,16.833971224487875,33.33333333333333,1,1
코너스톤네트웍스,Dec-19,-2.0044196320437235,-160.17065882809766,-8.55871646593618,184.8747203366181,17.04105359949474,16.666666666666664,1,1
팍스넷,Dec-19,-7.083544715591734,-16.36534838994388,-16.490365851818854,120.1259382403164,13.526778672696365,40.0,1,1
퓨전,Dec-19,4.061370537242963,-49.15633777123279,-13.099529002080706,226.01783941633587,29.27177172212676,50.0,1,1
행남사,Dec-19,1.2224768295713395,-94.31844155846508,-7.277623009097161,326.4735120720451,17.40628649834744,33.33333333333333,1,1
화신테크,2019,-8.185005815402869,19.623066852666906,-0.8814743588073168,161.77450537046926,46.83760324620218,100.0,1,1
디에스티,Dec-19,-46.42362903346496,-178.17746827676123,-7.601206910667277,107.62162804124506,38.16545587767945,23.07692307692308,1,1
럭슬,2019,-36.190859852577645,-8.261466827943838,-8.261466827943838,127.54012800229349,30.11547307030592,30.0,1,1
에스앤씨엔진그룹리미티드,Dec-19,48.90912483634697,69.71426080757713,3.198346321056661,2782.0335883173025,23.588245218451327,0.0,1,0
에이아이비트,Dec-19,50.111492670893945,-122.73601775476456,0.7151053158935984,386.7906374727896,54.9649160607423,45.45454545454545,1,1
천보,2019,55.21659024,50.25164885,7.60990167,954.9565325,57.52102744,10.0,0,0
대주전자재료,2019,1.48492007,2.726505521,0.295645391,175.3401969,60.86205352,0.0,0,0
비덴트,2019,-2.722243183,26.62951786,-0.410466737,420.3646708,5.713163521,0.0,0,0
하나머티리얼즈,2019,-0.0132299884,34.96125177,13.85803115,197.1747462,52.46654786,0.0,0,0
클래시스,2019,28.29566082,51.02772286,36.61811548,441.5447445,71.38402579,0.0,0,0
파크시스템스,2019,64.79349249,43.33362563,13.84240906,374.7596063,85.89349861,0.0,0,0
하나마이크론,2019,-11.63052168,-0.598706343,0.482534243,150.2845851,70.49615429,0.0,0,0
네패스,2019,10.42199625,18.39743681,8.189730311,157.5935648,68.30598805,16.666666666666664,0,0
두산테스나,2019,24.28156411,25.67588351,7.058020242,191.0599379,28.25843723,0.0,0,0
인텔리안테크놀로지스,2019,35.19224717,26.61789505,1.177112109,232.8400089,85.89700782,0.0,0,0
상아프론테크,2019,15.25544554,37.74595707,2.699436451,237.5959051,74.97279511,50.0,0,1
파마리서치,2019,31.81720594,30.668871,8.671461692,650.3935655,31.07215312,16.666666666666664,0,0
서진시스템,2019,0.318195621,21.09090787,0.434077643,190.1214884,69.68605803,0.0,0,0
헬릭스미스,2019,51.76596634,-59.32316371,-9.823453522,215.4856923,1.199260693,30.76923076923077,0,1
덱스터스튜디오,2019,36.50730704,-11.76047002,-8.581087893,594.2737903,83.40028854,0.0,0,0
쿠콘,2019,17.1037983,20.48745861,6.47282188,161.1000545,42.321436,0.0,0,0
케어젠,2019,72.64137695,116.783179,15.38921129,1548.64491,27.90573592,0.0,0,0
유니테스트,2019,59.8154733,63.41902463,11.16789007,560.7398272,101.324817,100.0,0,1
네패스아크,2019,1.08126063,2.926099427,11.46287404,124.8670707,34.44129971,25.0,0,1
서울옥션,2019,25.16721546,15.34136171,-1.8246702,165.7760907,26.09911562,0.0,0,0
