,회사명,회계년도,운전자산총자본비율,이익잉여금총자산비율,총자산이익율,시장가부채비율,매출액회전율,부실기업여부,부도기사 비율,폐지일자
3,그래디언트,2009,54.23235008,57.81731335,-3.810018665,388.2335951,62.62412973,0,,2009-12-31
11,대주전자재료,2016,-8.786573198,9.737697955,2.277756289,170.6489195,48.08419962,0,,2016-12-31
13,더이앤엠,2013,-21.21478285,-14.98182145,-10.03772431,134.9069602,29.39035897,0,,2013-12-31
18,동성화인텍,2010,-11.23046343,-4.502101581,4.940513815,147.2806354,78.12557507,0,,2010-12-31
22,드림어스컴퍼니,2016,68.33398662,-20.57212082,-15.71950438,419.3704083,104.4987566,0,,2016-12-31
35,모다이노칩,2010,44.0589631,59.25756558,10.13752986,431.5747248,70.4800431,0,,2010-12-31
40,삼표시멘트,2009,-24.53461778,-0.454551808,-0.231311615,166.8513511,33.5865674,0,,2009-12-31
42,서부티엔디,2009,-4.431832367,1.594347847,0.510037209,297.1114669,5.405574892,0,,2009-12-31
50,슈프리마에이치큐,2010,68.36250349,31.1350255,8.201997698,1456.194901,33.14525445,0,,2010-12-31
51,슈프리마에이치큐,2011,68.19326314,34.53844441,5.174087911,1251.52945,39.89923065,0,,2011-12-31
70,엔에이치엔벅스,2010,45.69793734,24.51082112,7.787333006,381.5790997,61.72137468,0,,2010-12-31
71,엘엑스세미콘,2009,71.70713445,71.10621301,31.02962001,487.021421,162.3220894,0,,2009-12-31
72,엠피대산,2013,-34.38429922,26.44469489,7.342818116,154.2759491,259.4455025,0,,2013-12-31
75,오성첨단소재,2009,-27.89056085,10.04975174,2.475593507,132.4226757,26.08327073,0,,2009-12-31
90,인터플렉스,2009,22.67815036,47.03157371,7.364499818,248.9804258,132.9766207,0,,2009-12-31
95,주성엔지니어링,2009,20.98727165,17.55833634,3.923681178,184.2667999,46.36339284,0,,2009-12-31
102,케이지이니시스,2011,25.7886961,33.71696081,6.246171258,230.3638984,85.22679007,0,,2011-12-31
106,코스맥스엔비티,2013,-25.94919674,6.220568443,9.751643425,143.552223,117.6938166,0,,2013-12-31
132,현대바이오랜드,2013,20.56509431,56.40504691,9.429257796,405.7249527,49.8346527,0,,2013-12-31
