기업,부도기사 비율
KCW,42.86
글로웍스,15.07
금강제강,80.0
나노트로닉스,0.0
나이스메탈,10.39
네스테크,14.86
네오퍼플,9.2
네이쳐글로벌,5.41
네프로아이티,36.27
넥스지,1.85
넷웨이브,33.77
뉴젠아이씨티,14.43
대선조선,9.68
동양텔레콤,5.63
디아이디,4.0
디에스,3.12
디에이치패션,28.57
디패션,30.0
레이젠,8.33
렉스엘이앤지,50.0
마이스코,10.77
맥스브로,6.17
모린스,7.58
미리넷,1.89
미성포리테크,14.29
미주제강,2.56
보광티에스,21.92
블루젬디앤씨,12.5
비앤비성원,5.33
비엔씨컴퍼니,0.0
삼우이엠씨,10.39
세븐코스프,5.71
스톰이앤에프,17.07
스틸플라워,15.22
승화프리텍,29.85
쌍용건설,27.16
썬코어,22.81
씨그널엔터테인먼트그룹,6.58
씨모텍,89.02
씨엘인터내셔널,13.64
씨티앤티,22.73
씨티엘테크,33.33
아라온테크,34.78
아이디에스,13.92
아이스테이션,1.69
아이이,19.23
아이팩토리,34.69
아인스엠앤엠,20.51
아큐텍,17.05
알에스넷,9.52
알티전자,4.41
어울림네트웍스,16.67
어울림엘시스,26.92
어울림정보기술,21.62
에듀언스,7.79
에듀패스,9.09
에버테크노,42.86
에스브이에이치,27.78
에스비엠,44.66
에스에스씨피,0.0
에스에스컴텍,11.94
에스티씨라이프,28.95
에이스하이텍,15.52
에이원마이크로,12.5
에이프로테크놀로지,11.39
에코솔루션,0.0
에코페트로시스템,10.13
에피밸리,36.62
엔빅스,5.33
엔스퍼트,64.71
엔에스브이,22.73
엔케이바이오,11.94
엔하이테크,13.58
엘앤씨피,2.99
엘앤피아너스,19.4
엠엔에프씨,16.33
엠제이비,18.06
엠텍비젼,36.36
영진코퍼레이션,13.79
와이즈파워,52.11
우경,35.71
우성아이비,44.0
우양에이치씨,18.6
우전,0.0
울트라건설,4.08
위너지스,15.38
위노바,15.79
위다스,29.69
유니드코리아,20.59
유니텍전자,1.49
유아이에너지,28.38
유일엔시스,17.65
이디디컴퍼니,20.55
이룸지엔지,9.09
인스프리트,16.13
잘만테크,7.41
제너시스템즈,11.11
제이앤유글로벌,6.0
제이에이치코오스,40.0
제이콤,5.62
중앙디자인,5.17
지노시스템,6.06
지아이바이오,25.0
지앤디윈텍,11.27
지앤알,3.61
지앤에스티,29.73
지티앤티,42.86
케이엔씨글로벌,16.39
코썬바이오,40.91
코아에스앤아이,20.27
큐리어스,28.24
큐앤에스,21.43
클라스타,11.67
클루넷,1.37
태산엘시디,15.58
태창파로스,29.73
터보테크,38.33
테라리소스,31.58
트라이써클,18.37
트레이스,1.72
트루아워,40.24
티에스엠텍,7.04
평안물산,22.5
포휴먼,6.19
폴리플러스,12.5
프리젠,50.0
플렉스컴,3.66
피엘에이,14.08
한와이어리스,9.68
해피드림,15.62
핸디소프트,36.96
휴먼텍코리아,10.0
히스토스템,14.12
